,Days_Shifted,Correlation_Coefficient
855,255,-0.35121701068588734
854,254,-0.35088154096578067
1092,492,-0.3508228985861668
853,253,-0.3505279112924152
1093,493,-0.3504207482084911
852,252,-0.3501051183966068
1094,494,-0.34998663738347796
851,251,-0.3496469901917062
1095,495,-0.34961855435186096
850,250,-0.3492014519622267
1096,496,-0.34918694330842814
849,249,-0.34878721257898665
1097,497,-0.34869870792713686
848,248,-0.3482937739537687
1098,498,-0.3481706930689075
847,247,-0.3478427031811813
1099,499,-0.34764254478910905
846,246,-0.34742554998772845
1100,500,-0.347146693288358
845,245,-0.3470796466033202
844,244,-0.346760496092155
1101,501,-0.3465753415434357
843,243,-0.3464317929116402
842,242,-0.34615782252785404
1102,502,-0.3459771008843589
841,241,-0.3458779594847764
840,240,-0.3455767079311279
1103,503,-0.3454832242170583
839,239,-0.34521690091720925
1104,504,-0.3450045894569886
838,238,-0.34475728150933305
1105,505,-0.344520695258995
837,237,-0.3442114561795194
1106,506,-0.3440108381919136
836,236,-0.34366565884004396
1107,507,-0.34346284613719114
835,235,-0.3431489373749443
1108,508,-0.3429481815085241
834,234,-0.34265955597195435
1109,509,-0.34236723053998974
833,233,-0.3421135597632644
1110,510,-0.3419440335280803
832,232,-0.3416044815909186
1111,511,-0.3415313775009464
831,231,-0.34108799284249935
1112,512,-0.34107214175547473
1113,513,-0.34058194219208543
830,230,-0.34057813156074157
1114,514,-0.34011621377694357
829,229,-0.3400372528976734
1115,515,-0.33965466204077727
828,228,-0.3393897319172837
1116,516,-0.33916717793367246
827,227,-0.3387133796149351
1117,517,-0.3386737448935576
1118,518,-0.33826956095131056
826,226,-0.33800310898576275
1119,519,-0.33780524818253516
1120,520,-0.3372966166694749
825,225,-0.33726619043468975
1121,521,-0.3368082154383797
824,224,-0.33645968556647715
1122,522,-0.33641202581776697
1123,523,-0.33592919794184356
823,223,-0.3356808353722013
1124,524,-0.33548263910765497
1125,525,-0.33503454941495664
822,222,-0.3348611230664999
1126,526,-0.33452127228441425
821,221,-0.3341119758344323
1127,527,-0.33400524883420735
1128,528,-0.3335136105594669
820,220,-0.3333405161665862
1129,529,-0.33293233755109897
819,219,-0.3326004410424203
1130,530,-0.332383325603633
1131,531,-0.33192795201149805
818,218,-0.3317864981618056
1132,532,-0.33148253423440294
1133,533,-0.33106340306488663
817,217,-0.3309449609970308
1134,534,-0.33073419811743254
1135,535,-0.33035203311155414
816,216,-0.33019440700352964
1136,536,-0.32995892014049194
1137,537,-0.3294956435924411
815,215,-0.3294014245949715
1138,538,-0.3289849030429416
814,214,-0.3286268544926336
1139,539,-0.32850411764234233
1140,540,-0.328044974828017
813,213,-0.32783087674942224
1141,541,-0.3275615091621203
1142,542,-0.3270915799265366
812,212,-0.3270320348811152
1143,543,-0.3267269119459475
1144,544,-0.32639133133863846
811,211,-0.3262575979254457
1145,545,-0.32609195263775537
1146,546,-0.3258133932167335
1147,547,-0.3255599326225545
810,210,-0.3254538218642264
1148,548,-0.3252648847546534
1149,549,-0.32493464401364547
809,209,-0.324656367970342
1150,550,-0.3245863771813299
1151,551,-0.3242079182540364
808,208,-0.32386652621591533
1152,552,-0.3237528133526769
1153,553,-0.3232899563436701
807,207,-0.3230365830843417
1154,554,-0.3228571424627117
1155,555,-0.32246000738969477
806,206,-0.32217642867439245
1156,556,-0.3220177345664622
1157,557,-0.32162005814748035
805,205,-0.3212898655215885
1158,558,-0.32119912025514974
1159,559,-0.32077417686270726
1160,560,-0.3203578361135502
804,204,-0.3203399124749256
1161,561,-0.3198636056566232
803,203,-0.31948018639300024
1162,562,-0.3194239327375092
1163,563,-0.31898718384309416
802,202,-0.31853949084750827
1164,564,-0.3185191484947031
1165,565,-0.31801658311228187
801,201,-0.31763854492696236
1166,566,-0.31744849906064115
1167,567,-0.3169318869953357
800,200,-0.3167724607316043
1168,568,-0.316413212344749
799,199,-0.31591054208776437
1169,569,-0.31588213607222976
1170,570,-0.31536980963285816
798,198,-0.31501801904749377
1171,571,-0.3149163426942952
1172,572,-0.31448891047542205
797,197,-0.3141629752307153
1173,573,-0.31403691593939237
