,Days_Shifted,Correlation_Coefficient
93,-507,0.08700860754686485
109,-491,0.08704541073807588
98,-502,0.08734025385866209
859,259,0.08766104226265445
856,256,0.08863350265167627
336,-264,0.09008317478676768
96,-504,0.09051970011284524
638,38,0.09057535178821925
97,-503,0.09199451472171326
857,257,0.09218953176875293
730,130,0.09237527423511115
713,113,0.09315157531665244
858,258,0.0941456738668589
279,-321,0.09506116990803704
817,217,0.0956225149304995
92,-508,0.0959543469479412
518,-82,0.09618722428564519
415,-185,0.09633905082431211
425,-175,0.09647208799189856
110,-490,0.09795050240497383
639,39,0.09810788899528583
335,-265,0.0983345306965125
1105,505,0.10083938337458899
424,-176,0.10145987848788365
177,-423,0.10166537674132292
731,131,0.10195034859626372
417,-183,0.10505346492466469
416,-184,0.10517141529763939
456,-144,0.10596967063145622
418,-182,0.10637089610539871
419,-181,0.10678713090182851
712,112,0.10682053927393342
455,-145,0.10701132941647887
457,-143,0.1079987859027551
426,-174,0.10830897282905137
816,216,0.1083868291836996
420,-180,0.10877157066798376
517,-83,0.10900636131040997
732,132,0.11118943677562591
334,-266,0.11120544076848708
454,-146,0.11143295064501287
640,40,0.11176363832233718
423,-177,0.11374389970539604
111,-489,0.11443814039303436
458,-142,0.11510839485673062
421,-179,0.11511614255909622
516,-84,0.11589478315376663
333,-267,0.11807609613851328
986,386,0.1180887660737983
332,-268,0.1187360016647249
733,133,0.11965515819756194
711,111,0.12051774060908606
453,-147,0.1207771637596299
515,-85,0.12194370421625557
422,-178,0.12214188295763706
815,215,0.12288525188588284
280,-320,0.12334242943094974
452,-148,0.1239172973075173
91,-509,0.1252107999877507
1104,504,0.1252579386974098
459,-141,0.1256319651266395
641,41,0.12644836737914275
451,-149,0.12662465463066405
462,-138,0.12672710956667144
734,134,0.1281601011127065
514,-86,0.12818823611229468
427,-173,0.128686163648615
331,-269,0.12964179730149986
176,-424,0.1297204008139779
85,-515,0.13050222394085148
513,-87,0.13096647063436284
460,-140,0.13100427384348212
463,-137,0.13203279206397436
450,-150,0.13278487158377883
814,214,0.13294073425694647
461,-139,0.13351614084506208
430,-170,0.13557903531400387
512,-88,0.13595853199863311
710,110,0.1359913590763118
432,-168,0.13719771956139534
449,-151,0.13833935608351972
735,135,0.13851607569828772
431,-169,0.1387295242002637
433,-167,0.13900809066476022
330,-270,0.13909119318663787
429,-171,0.13945436259817875
642,42,0.1403306356851161
428,-172,0.14088294110261596
1103,503,0.1416410238752845
813,213,0.14246311239893722
464,-136,0.14267908043471042
448,-152,0.14272641865513885
987,387,0.14417805036138864
709,109,0.14658737104543845
329,-271,0.14739813309984645
1198,598,0.14786175697213524
112,-488,0.1487806445964772
90,-510,0.1494193202132572
511,-89,0.15014723541591427
465,-135,0.15098387502744218
434,-166,0.15170826068889173
812,212,0.15203467114690353
736,136,0.15221393728473906
708,108,0.15372196924492051
