,Days_Shifted,Correlation_Coefficient
627,27,-0.09465773266004929
970,370,-0.09420193578029334
416,-184,-0.09404980952881571
325,-275,-0.09329659310375572
324,-276,-0.09324187331743852
346,-254,-0.09285528462716516
686,86,-0.09282490361175046
1037,437,-0.09247383879256081
245,-355,-0.09142601447653545
472,-128,-0.09095182582219494
528,-72,-0.09093889006230006
263,-337,-0.09043529260817744
459,-141,-0.09041226962869912
618,18,-0.08948781217762901
243,-357,-0.0893123154978223
972,372,-0.08809310589965522
305,-295,-0.08778924789419555
473,-127,-0.08723264833095239
905,305,-0.08708487129304969
417,-183,-0.08647628694031848
804,204,-0.08587638184294871
548,-52,-0.08567265386747216
784,184,-0.08563827899323449
467,-133,-0.08556766470417977
802,202,-0.08547343971107477
803,203,-0.08543673487931915
529,-71,-0.08534783054274446
939,339,-0.08491877169844556
563,-37,-0.08360621136663726
856,256,-0.08329325229816148
677,77,-0.08300309602004935
348,-252,-0.08225779307829025
301,-299,-0.08201363769496245
347,-253,-0.08183690006301843
471,-129,-0.08182302378786319
966,366,-0.08124419478339431
788,188,-0.08080567767697554
335,-265,-0.08076050861808086
708,108,-0.08008180358654178
457,-143,-0.07955505936674816
475,-125,-0.07926272387897396
264,-336,-0.07904545788479932
879,279,-0.07881783281138705
586,-14,-0.07856771268470962
934,334,-0.07812368968660567
617,17,-0.07796052590806736
290,-310,-0.07781012930545148
418,-182,-0.07753804961478462
631,31,-0.07657953301132454
357,-243,-0.07651435793530857
353,-247,-0.07612776528959696
231,-369,-0.0760152397182828
674,74,-0.07574490641496122
338,-262,-0.07467014108727145
396,-204,-0.07408487706259669
355,-245,-0.0739394091028617
616,16,-0.07379380388971352
620,20,-0.07339309348579297
414,-186,-0.07307517133994737
763,163,-0.07285156110394066
526,-74,-0.07270800731294148
839,239,-0.07224779052934817
795,195,-0.07213620552305952
975,375,-0.07200385968858204
614,14,-0.07182267710322056
336,-264,-0.07181234546407862
354,-246,-0.07131599860929046
461,-139,-0.07103429825260699
993,393,-0.07069929615704522
684,84,-0.07052066881887627
466,-134,-0.06969490510006293
932,332,-0.06944200970911783
197,-403,-0.06942232466867981
852,252,-0.06940776184835468
680,80,-0.06857410024461243
458,-142,-0.0680446360140136
764,164,-0.06778818080411718
940,340,-0.06741506257825225
