,Days_Shifted,Correlation_Coefficient
667,67,0.05714518433135712
749,149,0.05723546139551783
746,146,0.057728651132563785
740,140,0.057938011304588255
747,147,0.05827601266666393
388,-212,0.05974213001279949
736,136,0.06062823636113895
738,138,0.06151014723877489
991,391,0.062025559984875654
970,370,0.06400255827255573
666,66,0.06403812716375212
655,55,0.06436192875997714
514,-86,0.06437510911253634
356,-244,0.06734059094170802
516,-84,0.0673533235021124
384,-216,0.06827011787972212
877,277,0.06866836192189167
651,51,0.06969469524413852
515,-85,0.06981984903245518
834,234,0.0701120380134761
517,-83,0.07141688881172027
665,65,0.07189128200888172
440,-160,0.0719851600543839
354,-246,0.07289287843400635
232,-368,0.07326629441086537
737,137,0.07552042872334198
822,222,0.07612095526538273
650,50,0.07767978760148428
355,-245,0.07829696313171605
833,233,0.07853748044480723
378,-222,0.07859166927799299
663,63,0.07902232542496165
295,-305,0.0791805634814121
377,-223,0.07955195391183602
934,334,0.07989327859445718
750,150,0.07992394910290802
945,345,0.08029236066686021
664,64,0.08130307389958984
595,-5,0.08347382024806044
656,56,0.0857021434799883
389,-211,0.0862425712323336
649,49,0.08637201392192478
928,328,0.08652814599875522
957,357,0.08747206215562281
300,-300,0.0875179303343907
662,62,0.0877372308946424
379,-221,0.09066838410292385
931,331,0.09116712077097237
968,368,0.0920716744723894
932,332,0.09256686034464644
380,-220,0.09285067100639252
823,223,0.09428050439335867
751,151,0.09439295367666074
648,48,0.09578293271350885
383,-217,0.0975826629861502
941,341,0.09778325401243222
835,235,0.09904406947551835
230,-370,0.10102617823644013
647,47,0.101051533890835
439,-161,0.10376143869579806
956,356,0.10486529397023818
876,276,0.10526212857291438
943,343,0.10547316770546289
381,-219,0.10702544879734689
390,-210,0.10792571399673911
657,57,0.10813633711806787
596,-4,0.10950312841246608
661,61,0.11159254353557461
955,355,0.11323743894175003
391,-209,0.11533995485158297
659,59,0.1157250637120167
660,60,0.11708984707390489
658,58,0.11937706827015554
382,-218,0.12124087335080791
824,224,0.12223350414638026
929,329,0.12363524702727567
